ID,Section,Type,dist_from_top,Type_name,IGSN
C1,1,0,8,TS,10.60471/ODP00003E
C1,1,1,Unknown Location,rock,10.60471/ODP00008J
C1,1,2,Unknown Location,powder,10.60471/ODP0000C8
C1,2,0,10,TS,10.60471/ODP00003F
C1,2,0,48,TS,10.60471/ODP00003G
C1,2,0,61,TS,10.60471/ODP00003H
C2,3,0,74,TS,10.60471/ODP00003I
C2,4,1,0,rock,10.60471/ODP00008K
C2,4,0,41,TS,10.60471/ODP00003J
C2,5,0,36,TS,10.60471/ODP00003K
C2,6,0,41,TS,10.60471/ODP00003L
C3,7,0,0,TS,10.60471/ODP00003M
C3,7,0,5,TS,10.60471/ODP00003N
C3,8,0,48,TS,10.60471/ODP00003O
C4,10,3,61,TS billets,10.60471/ODP0000CD
C4,10,1,61,rock,10.60471/ODP00008L
C4,11,0,48,TS,10.60471/ODP00003P
C4,12,0,15,TS,10.60471/ODP00003Q
C4,12,0,51,TS,10.60471/ODP00003R
C4,13,0,43,TS,10.60471/ODP00003S
C4,14,1,0,rock,10.60471/ODP00008M
C4,14,0,0,TS,10.60471/ODP00003T
C4,15,0,30,TS,10.60471/ODP00003U
C4,15,0,89,TS,10.60471/ODP00003V
C4,16,0,51,TS,10.60471/ODP00003W
C4,16,0,71,TS,10.60471/ODP00003X
C4,16,3,91,TS billets,10.60471/ODP0000CE
C4,16,1,91,rock,10.60471/ODP00008N
C4,16,1,Unknown Location,rock,10.60471/ODP00008O
C4,17,0,30,TS,10.60471/ODP00003Y
C4,17,3,61,TS billets,10.60471/ODP0000CF
C4,17,1,61,rock,10.60471/ODP00008P
C4,17,1,61,rock,10.60471/ODP00008Q
C4,17,1,61,rock,10.60471/ODP00008R
C4,17,1,91,rock,10.60471/ODP00008S
C4,18,1,0,rock,10.60471/ODP00008T
C4,18,3,0,TS billets,10.60471/ODP0000CG
C4,18,0,30,TS,10.60471/ODP00003Z
C4,18,2,Unknown Location,powder,10.60471/ODP0000C9
C4,19,1,0,rock,10.60471/ODP00008U
C4,19,0,81,TS,10.60471/ODP00004A
C4,20,3,"10,055 ft absolute depth in SAFOD hole",TS billets,10.60471/ODP0000CH
C4,20,1,"10,055 ft absolute depth in SAFOD hole",rock,10.60471/ODP00008V
C5,21,0,"10,057.08 ft absolute depth in SAFOD hole",TS,10.60471/ODP00004B
C5,21,3,"10,058 ft absolute depth in SAFOD hole",TS billets,10.60471/ODP0000CI
C5,21,1,"10,058 ft absolute depth in SAFOD hole",rock,10.60471/ODP00008W
C5,21,1,16-35 cm,rock,10.60471/ODP00008X
C5,21,1,25-34 cm,rock,10.60471/ODP00008Y
C5,21,1,30-38 cm,rock,10.60471/ODP00008Z
C5,21,1,Unknown Location,rock,10.60471/ODP00009A
C5,21,1,Unknown Location,rock,10.60471/ODP00009B
C5,21,1,Unknown Location,rock,10.60471/ODP00009C
C5,21,1,Unknown Location,rock,10.60471/ODP00009D
C5,21,1,Unknown Location,rock,10.60471/ODP00009E
C5,21,1,Unknown Location,rock,10.60471/ODP00009F
C5,21,4,Unknown Location,mini core,10.60471/ODP0000BK
C5,21,1,Unknown Location,rock,10.60471/ODP00009G
C5,21,1,Unknown Location,rock,10.60471/ODP0000CA
C5,22,1,"10,058 ft absolute depth in SAFOD hole",rock,10.60471/ODP00009H
C5,22,0,10059.75 ft absolute depth in SAFOD hole,TS,10.60471/ODP00004C
C5,23,1,"10,061 ft absolute depth in SAFOD hole",rock,10.60471/ODP00009I
C5,23,1,"10,063 ft absolute depth in SAFOD hole",rock,10.60471/ODP00009J
C5,23,3,"10,063 ft absolute depth in SAFOD hole",TS billets,10.60471/ODP0000CJ
C7,1,3,14,TS billets,10.60471/ODP0000CK
C7,1,0,14,TS,10.60471/ODP00004D
C7,1,3,55,TS billets,10.60471/ODP0000CL
C7,1,0,55,TS,10.60471/ODP00004E
C7,1,1,Unknown Location,rock,10.60471/ODP00009K
C7,2,3,0,TS billets,10.60471/ODP0000CM
C7,2,0,0,TS,10.60471/ODP00004F
C7,2,3,2,TS billets,10.60471/ODP0000CN
C7,2,3,32,TS billets,10.60471/ODP0000CO
C7,2,0,32,TS,10.60471/ODP00004G
C7,2,4,76,mini core,10.60471/ODP0000BL
C7,2,4,85,mini core,10.60471/ODP0000BM
C7,2,3,88,TS billets,10.60471/ODP0000CP
C7,2,0,88,TS,10.60471/ODP00004H
C7,2,1,Unknown Location,rock,10.60471/ODP00009L
C7,3,0,43,TS,10.60471/ODP00004I
C7,3,3,43,TS billets,10.60471/ODP0000CQ
C7,3,4,61,mini core,10.60471/ODP0000BN
C7,3,4,65,mini core,10.60471/ODP0000BO
C7,3,4,77,mini core,10.60471/ODP0000BP
C7,3,3,84,TS billets,10.60471/ODP0000CR
C7,3,3,88,TS billets,10.60471/ODP0000CS
C7,3,0,88,TS,10.60471/ODP00004J
C7,3,4,Unknown Location,mini core,10.60471/ODP0000BQ
C7,3,4,Unknown Location,mini core,10.60471/ODP0000BR
C7,4,3,23,TS billets,10.60471/ODP0000CT
C7,4,0,23,TS,10.60471/ODP00004K
C7,4,1,24,rock,10.60471/ODP00009M
C7,4,3,43,TS billets,10.60471/ODP0000CU
C7,4,3,43,TS billets,10.60471/ODP0000CV
C7,4,0,43,TS,10.60471/ODP00004L
C7,4,3,60,TS billets,10.60471/ODP0000CW
C7,4,0,65,TS,10.60471/ODP00004M
C7,4,1,Unknown Location,rock,10.60471/ODP00009N
C7,4,4,Unknown Location,mini core,10.60471/ODP0000BS
E1,1,1,31-35 cm,rock,10.60471/ODP00009O
E1,1,3,37-41 cm,TS billets,10.60471/ODP0000CX
E1,1,2,56-61 cm,powder,10.60471/ODP0000CB
E1,1,0,63,TS,10.60471/ODP00004N
E1,1,3,63,TS billets,10.60471/ODP0000CY
E1,1,1,Unknown Location,rock,10.60471/ODP00009P
E1,2,0,0-1 cm,TS,10.60471/ODP00004O
